market_id,created_at,actual_delivery_time,store_id,store_primary_category,order_protocol,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_dashers,total_busy_dashers,total_outstanding_orders,estimated_order_place_duration,estimated_store_to_consumer_driving_duration
6.0,2015-02-08 03:15:53,2015-02-08 04:27:13,2621,asian,1.0,17,10650,11,100,1150,,,,446,163.0
6.0,2015-01-30 21:27:17,2015-01-30 22:08:12,2621,asian,1.0,2,1650,2,750,900,,,,446,308.0
6.0,2015-02-07 03:58:34,2015-02-07 04:58:42,2621,asian,1.0,2,1450,2,650,750,,,,446,360.0
6.0,2015-01-24 04:19:57,2015-01-24 05:08:51,2621,asian,1.0,3,2600,2,750,1000,,,,446,393.0
6.0,2015-02-07 01:39:58,2015-02-07 02:19:22,6153,italian,1.0,3,5485,2,1095,2195,,,,446,273.0
2.0,2015-01-28 21:46:56,2015-01-28 22:22:12,4062,barbecue,3.0,6,6425,6,475,1675,27.0,16.0,16.0,251,
6.0,2015-02-13 03:58:47,2015-02-13 04:41:52,3821,sandwich,3.0,1,1000,1,1000,1000,,,,251,739.0
6.0,2015-02-15 05:09:30,2015-02-15 05:48:58,3821,sandwich,3.0,2,2100,2,1000,1100,,,,251,549.0
6.0,2015-01-29 05:17:50,2015-01-29 05:44:14,3821,sandwich,3.0,2,1800,2,800,1000,,,,251,488.0
6.0,2015-02-06 04:20:23,2015-02-06 05:51:24,3821,sandwich,3.0,3,1753,3,619,1127,,,,251,488.0
6.0,2015-02-14 04:38:50,2015-02-14 05:18:00,3821,sandwich,3.0,2,2200,2,1100,1100,,,,251,232.0
6.0,2015-02-07 06:45:02,2015-02-07 07:05:48,3821,sandwich,3.0,2,2300,2,1000,1300,,,,251,527.0
6.0,2015-02-13 03:10:47,2015-02-13 03:52:21,3821,sandwich,3.0,1,1100,1,1100,1100,,,,251,450.0
6.0,2015-02-06 21:48:10,2015-02-06 22:26:55,3821,sandwich,3.0,1,800,1,800,800,,,,251,627.0
6.0,2015-02-07 06:03:20,2015-02-07 06:28:23,3821,sandwich,3.0,1,1100,1,1100,1100,,,,251,450.0
3.0,2015-01-23 17:48:13,2015-01-23 19:21:11,6115,breakfast,1.0,3,4475,3,475,2500,,,,446,949.0
,2015-02-17 02:17:43,2015-02-17 03:15:14,1148,,,3,3400,3,1000,1200,36.0,36.0,52.0,251,653.0
4.0,2015-02-09 02:10:29,2015-02-09 02:59:20,5171,,,2,2790,2,1295,1495,84.0,66.0,121.0,251,617.0
4.0,2015-01-28 19:57:30,2015-01-28 20:34:46,517,american,3.0,2,2895,2,775,1025,32.0,33.0,47.0,251,
,2015-02-18 03:50:52,2015-02-18 04:15:09,1904,sandwich,2.0,1,1395,1,795,795,89.0,71.0,72.0,251,315.0
5.0,2015-02-02 02:12:15,2015-02-02 03:37:51,4215,,1.0,2,3740,2,1425,1745,17.0,15.0,28.0,446,816.0
5.0,2015-01-22 02:12:42,2015-01-22 03:03:14,4215,,1.0,4,2400,4,475,625,21.0,10.0,15.0,446,500.0
5.0,2015-01-25 22:21:36,2015-01-25 23:00:03,4215,,1.0,3,3065,3,225,2095,14.0,11.0,6.0,446,990.0
5.0,2015-01-30 20:27:37,2015-01-30 21:17:51,4215,,,1,1995,1,1995,1995,14.0,10.0,12.0,446,590.0
5.0,2015-02-03 00:02:37,2015-02-03 00:54:30,4215,,1.0,3,1425,2,225,575,9.0,6.0,7.0,446,771.0
5.0,2015-01-22 01:34:22,2015-01-22 02:19:39,4215,,1.0,3,2420,3,50,2095,18.0,15.0,18.0,446,413.0
5.0,2015-01-29 02:37:42,2015-01-29 03:24:29,4215,,1.0,2,1175,2,50,1125,19.0,9.0,17.0,446,341.0
5.0,2015-01-31 20:10:47,2015-01-31 20:49:29,4215,,1.0,1,1289,1,1437,1400,21.0,13.0,19.0,446,198.0
5.0,2015-01-25 04:09:34,2015-01-25 05:02:39,4215,,1.0,4,2450,3,475,625,12.0,19.0,18.0,446,500.0
5.0,2015-01-30 02:35:55,2015-01-30 03:33:41,4215,,1.0,2,675,2,50,625,22.0,14.0,22.0,446,510.0
5.0,2015-01-31 21:13:57,2015-01-31 21:51:50,4215,,1.0,1,2795,1,1995,1995,16.0,8.0,8.0,446,471.0
5.0,2015-01-21 21:38:16,2015-01-21 22:07:06,4215,,1.0,1,812,1,691,743,25.0,12.0,18.0,446,800.0
5.0,2015-01-30 02:20:58,2015-01-30 03:14:42,4215,,1.0,1,1828,1,2031,1935,24.0,21.0,23.0,446,976.0
5.0,2015-01-23 21:31:32,2015-01-23 22:05:57,4215,,1.0,1,1325,1,1325,1325,11.0,8.0,8.0,446,216.0
5.0,2015-01-24 02:57:59,2015-01-24 04:15:34,4215,,1.0,3,2375,2,475,1425,22.0,19.0,30.0,446,924.0
5.0,2015-02-03 02:05:18,2015-02-03 04:07:10,4215,,1.0,2,1220,2,525,695,16.0,14.0,24.0,446,437.0
5.0,2015-01-25 22:43:03,2015-01-25 23:34:16,4215,,1.0,1,3095,1,2095,2095,12.0,14.0,9.0,446,396.0
6.0,2015-02-15 03:16:02,2015-02-15 04:26:38,4476,soup,3.0,1,725,1,625,625,,,,251,612.0
6.0,2015-02-10 22:37:10,2015-02-10 23:35:10,4476,soup,3.0,2,1926,2,674,657,,,,251,966.0
6.0,2015-02-09 23:11:22,2015-02-10 00:14:08,4476,soup,3.0,3,1950,3,200,625,,,,251,280.0
6.0,2015-02-14 21:41:38,2015-02-14 22:22:42,4476,soup,3.0,4,1962,4,137,625,,,,251,916.0
6.0,2015-02-08 00:58:32,2015-02-08 01:39:09,4476,soup,3.0,2,1025,2,400,625,,,,251,938.0
6.0,2015-02-13 22:30:07,2015-02-13 23:11:31,4476,soup,3.0,4,1412,4,137,625,,,,251,874.0
2.0,2015-01-28 02:45:44,2015-01-28 03:43:47,4476,vegetarian,1.0,4,2100,4,400,625,,,,251,613.0
4.0,2015-02-18 02:54:50,2015-02-18 04:00:48,6313,,5.0,1,1150,1,1150,1150,90.0,81.0,162.0,251,170.0
3.0,2015-02-07 03:02:56,2015-02-07 03:55:30,3469,,4.0,4,1246,2,194,429,8.0,8.0,11.0,251,182.0
2.0,2015-01-29 19:52:08,2015-01-29 20:32:18,4062,barbecue,3.0,3,2845,3,275,1995,45.0,42.0,66.0,251,
4.0,2015-01-29 20:41:02,2015-01-29 21:17:35,517,american,3.0,6,3526,6,494,787,44.0,42.0,59.0,251,
6.0,2015-01-22 03:10:55,2015-01-22 04:31:19,4476,soup,3.0,2,1025,2,400,625,,,,251,507.0
6.0,2015-02-17 18:50:53,2015-02-17 19:24:50,4476,soup,3.0,2,1750,2,400,625,,,,251,285.0
6.0,2015-02-10 02:47:14,2015-02-10 04:07:05,4476,soup,3.0,2,1125,2,400,625,,,,251,509.0
6.0,2015-02-09 19:55:39,2015-02-09 21:57:05,4476,soup,3.0,5,2250,2,225,625,,,,251,763.0
6.0,2015-01-26 19:47:12,2015-01-26 20:45:21,4476,soup,3.0,3,1800,3,400,625,,,,251,407.0
6.0,2015-02-18 04:17:29,2015-02-18 04:52:11,4476,soup,3.0,3,1700,3,400,625,,,,251,962.0
6.0,2015-02-10 02:04:11,2015-02-10 02:31:43,4476,soup,3.0,3,1600,3,150,625,,,,251,151.0
6.0,2015-02-17 23:53:17,2015-02-18 00:30:45,4476,soup,3.0,5,1887,3,137,625,,,,251,790.0
6.0,2015-02-17 00:00:17,2015-02-17 00:44:37,4476,soup,3.0,5,2300,4,225,625,,,,251,919.0
6.0,2015-02-13 22:24:19,2015-02-13 22:56:56,4476,soup,3.0,6,3000,6,400,625,,,,251,568.0
3.0,2015-01-23 02:21:51,2015-01-23 03:29:52,6872,sushi,,6,5275,4,400,1295,8.0,7.0,7.0,446,510.0
3.0,2015-02-02 00:34:04,2015-02-02 01:21:03,5550,,1.0,1,1799,1,1799,1799,9.0,10.0,10.0,446,697.0
3.0,2015-02-13 21:05:28,2015-02-13 21:36:56,5550,,1.0,1,999,1,999,999,7.0,6.0,8.0,446,834.0
3.0,2015-01-28 00:01:47,2015-01-28 00:23:41,5550,,1.0,2,1749,2,750,999,6.0,3.0,3.0,446,423.0
3.0,2015-01-24 02:56:27,2015-01-24 03:36:33,5550,,1.0,6,3099,4,200,999,21.0,14.0,14.0,446,345.0
3.0,2015-02-08 00:21:41,2015-02-08 00:52:10,5550,,1.0,1,999,1,999,999,7.0,1.0,0.0,446,835.0
3.0,2015-02-13 03:34:13,2015-02-13 05:10:30,5550,,1.0,4,3600,3,650,1150,11.0,7.0,7.0,446,807.0
3.0,2015-02-06 03:55:28,2015-02-06 04:30:24,5550,,1.0,3,3648,2,1199,1250,10.0,6.0,6.0,446,373.0
3.0,2015-01-25 21:54:32,2015-01-25 22:38:00,5550,,1.0,4,4898,2,1199,1250,7.0,5.0,5.0,446,373.0
6.0,2015-02-09 20:41:10,2015-02-09 21:30:21,2751,chinese,2.0,4,3675,4,360,2595,,,,251,530.0
6.0,2015-02-11 04:22:57,2015-02-11 05:19:18,2751,chinese,2.0,8,5770,6,79,1295,,,,251,1088.0
,2015-02-17 03:49:46,2015-02-17 04:21:27,283,pizza,,1,1699,1,1399,1399,44.0,40.0,69.0,251,597.0
6.0,2015-02-15 20:31:04,2015-02-15 20:55:08,6852,sandwich,3.0,1,895,1,895,895,,,,251,595.0
6.0,2015-02-12 19:28:13,2015-02-12 20:24:54,6852,sandwich,3.0,1,895,1,895,895,,,,251,649.0
6.0,2015-02-11 21:02:07,2015-02-11 21:18:51,6852,sandwich,3.0,1,895,1,895,895,,,,251,279.0
6.0,2015-02-15 06:24:32,2015-02-15 06:43:14,6852,sandwich,3.0,3,300,1,100,100,,,,251,363.0
5.0,2015-01-23 20:23:14,2015-01-23 20:53:24,2742,,2.0,2,1345,2,450,895,13.0,7.0,10.0,251,158.0
5.0,2015-01-24 01:48:47,2015-01-24 02:35:46,2742,,2.0,3,2900,3,850,1100,20.0,12.0,17.0,251,551.0
5.0,2015-01-23 02:06:12,2015-01-23 02:42:20,2742,,2.0,5,4050,5,500,1100,23.0,12.0,15.0,251,470.0
5.0,2015-02-15 20:07:53,2015-02-15 20:38:33,2742,,2.0,5,3050,4,175,1100,14.0,12.0,12.0,251,367.0
5.0,2015-02-05 01:47:53,2015-02-05 02:35:18,2742,,2.0,4,2075,4,175,1100,17.0,17.0,26.0,251,740.0
4.0,2015-01-29 19:16:51,2015-01-29 19:44:09,6313,dessert,5.0,2,1575,2,325,1250,58.0,56.0,60.0,251,
,2015-02-07 02:11:12,2015-02-07 03:10:11,1027,,,5,5240,5,595,1325,47.0,40.0,71.0,251,595.0
6.0,2015-02-13 02:56:41,2015-02-13 04:09:04,238,vietnamese,1.0,1,1220,1,920,920,,,,446,352.0
6.0,2015-02-06 02:32:52,2015-02-06 03:38:00,238,vietnamese,1.0,1,920,1,920,920,,,,446,356.0
6.0,2015-02-08 02:18:52,2015-02-08 03:34:30,238,vietnamese,1.0,2,2040,1,920,920,,,,446,644.0
6.0,2015-02-08 02:16:28,2015-02-08 03:43:47,238,vietnamese,1.0,3,2790,3,600,920,,,,446,931.0
6.0,2015-02-06 21:48:29,2015-02-06 22:41:57,238,vietnamese,1.0,2,1844,2,688,1048,,,,446,800.0
6.0,2015-01-23 21:44:37,2015-01-23 22:18:32,238,vietnamese,1.0,1,600,1,600,600,,,,446,538.0
6.0,2015-01-23 02:28:21,2015-01-23 03:49:23,238,vietnamese,1.0,1,1070,1,920,920,,,,446,679.0
,2015-01-23 04:09:03,2015-01-23 05:14:00,238,,,2,2240,1,920,920,,,,446,504.0
6.0,2015-02-05 02:44:18,2015-02-05 04:23:05,238,vietnamese,1.0,3,2700,3,540,1080,,,,446,310.0
1.0,2015-02-16 02:09:51,2015-02-16 03:11:36,4616,,1.0,1,2592,1,2513,2660,61.0,53.0,110.0,446,372.0
4.0,2015-02-10 23:44:10,2015-02-11 00:34:39,6045,fast,,2,1850,1,775,775,11.0,12.0,21.0,251,793.0
4.0,2015-01-29 01:09:59,2015-01-29 02:01:41,6045,,,3,1967,3,189,659,81.0,70.0,82.0,251,901.0
6.0,2015-01-21 21:41:37,2015-01-21 22:15:03,2187,thai,1.0,1,750,1,750,750,,,,446,634.0
6.0,2015-02-13 02:23:00,2015-02-13 03:04:34,2187,thai,1.0,2,1790,2,795,795,,,,446,320.0
6.0,2015-01-23 01:55:39,2015-01-23 02:36:52,2187,thai,1.0,2,1790,2,795,795,,,,446,558.0
,2015-02-01 01:24:40,2015-02-01 02:14:33,2938,pizza,1.0,2,3070,1,735,735,20.0,21.0,13.0,446,203.0
5.0,2015-02-17 21:03:55,2015-02-17 21:34:25,2742,,2.0,2,1345,2,450,895,12.0,5.0,5.0,251,161.0
5.0,2015-02-07 20:17:57,2015-02-07 20:46:15,2742,,2.0,4,3650,4,500,1200,15.0,14.0,14.0,251,302.0
5.0,2015-02-17 01:30:14,2015-02-17 02:15:23,2742,,2.0,4,2920,4,175,1000,14.0,12.0,13.0,251,717.0
5.0,2015-02-04 20:49:41,2015-02-04 21:41:32,2742,,2.0,2,1345,2,450,895,8.0,7.0,10.0,251,158.0
5.0,2015-02-02 01:58:56,2015-02-02 02:47:32,2742,,2.0,3,3000,3,950,1100,22.0,21.0,29.0,251,518.0
5.0,2015-02-11 03:56:53,2015-02-11 04:44:36,2742,,2.0,4,1950,4,450,950,19.0,12.0,14.0,251,774.0
5.0,2015-02-08 02:32:41,2015-02-08 03:29:50,2742,,2.0,3,2200,2,550,1100,15.0,14.0,22.0,251,242.0
5.0,2015-02-11 02:53:05,2015-02-11 03:33:23,2742,,2.0,6,4100,3,550,950,18.0,12.0,22.0,251,282.0
5.0,2015-02-07 05:05:47,2015-02-07 05:31:00,2742,,2.0,1,1750,1,1750,1750,18.0,10.0,12.0,251,192.0
5.0,2015-01-30 02:20:56,2015-01-30 02:58:35,2742,,2.0,3,2595,3,600,1000,20.0,8.0,16.0,251,379.0
5.0,2015-02-17 19:47:09,2015-02-17 20:15:07,2742,,2.0,2,2400,2,1100,1300,15.0,5.0,10.0,251,405.0
5.0,2015-01-30 20:29:00,2015-01-30 21:02:03,2742,,2.0,2,1300,2,450,850,17.0,11.0,12.0,251,158.0
2.0,2015-01-31 01:05:12,2015-01-31 01:44:34,4346,burger,3.0,2,1000,1,500,500,,,,446,328.0
6.0,2015-02-13 01:25:23,2015-02-13 02:21:15,4346,hawaiian,1.0,5,3700,4,400,1300,,,,446,498.0
1.0,2015-01-29 20:55:14,2015-01-29 21:28:19,6418,fast,4.0,1,699,1,699,699,17.0,17.0,20.0,251,
1.0,2015-01-29 03:46:04,2015-01-29 04:28:04,6418,fast,4.0,1,999,1,999,999,23.0,21.0,21.0,251,
1.0,2015-01-29 04:57:07,2015-01-29 05:45:46,658,,4.0,4,1227,4,299,629,18.0,17.0,18.0,251,335.0
,2015-01-31 21:56:35,2015-01-31 22:38:40,5589,other,1.0,3,2350,3,450,1275,13.0,12.0,12.0,446,634.0
2.0,2015-01-29 20:09:30,2015-01-29 21:09:39,6740,fast,4.0,5,1360,3,120,355,69.0,59.0,81.0,251,
,2015-01-29 02:46:37,2015-01-29 03:47:41,59,chinese,,2,890,2,160,710,0.0,0.0,0.0,446,354.0
,2015-02-11 03:45:52,2015-02-11 04:25:01,4062,barbecue,3.0,2,3290,2,1595,1695,49.0,45.0,66.0,251,806.0
2.0,2015-02-16 02:05:20,2015-02-16 02:44:08,4062,,,1,2575,1,2575,2575,55.0,54.0,89.0,251,767.0
,2015-02-07 04:28:43,2015-02-07 05:24:11,3997,chinese,4.0,2,900,2,190,710,40.0,42.0,66.0,251,911.0
,2015-01-31 02:15:27,2015-01-31 03:02:57,6025,american,1.0,1,1567,1,1278,1335,52.0,44.0,62.0,446,617.0
4.0,2015-02-09 19:18:09,2015-02-09 19:49:31,6313,dessert,5.0,4,2330,4,225,795,,,,251,272.0
1.0,2014-10-19 05:24:15,2015-01-25 19:11:54,3560,italian,1.0,1,1695,1,1595,1595,,,,446,412.0
1.0,2015-02-07 03:42:08,2015-02-07 05:00:30,199,british,,2,1750,2,200,1550,23.0,25.0,38.0,251,561.0
6.0,2015-02-09 00:47:33,2015-02-09 01:26:27,4529,chinese,4.0,8,4890,5,100,1150,,,,446,609.0
6.0,2015-02-09 03:35:18,2015-02-09 04:20:24,4529,chinese,1.0,2,2070,2,975,1095,,,,446,460.0
6.0,2015-02-15 20:55:05,2015-02-15 21:42:00,4529,chinese,1.0,3,2540,3,595,1095,,,,446,833.0
6.0,2015-02-15 20:39:10,2015-02-15 21:15:16,4529,chinese,1.0,3,2620,3,650,995,,,,446,1037.0
4.0,2015-01-31 01:17:08,2015-01-31 02:10:43,3388,,5.0,3,2297,2,99,1099,74.0,58.0,109.0,251,402.0
,2015-01-21 20:42:48,2015-01-21 21:20:59,6025,american,,3,2150,2,500,1150,24.0,24.0,28.0,446,174.0
4.0,2015-01-24 01:06:04,2015-01-24 02:12:37,4369,,2.0,9,5305,7,345,1295,5.0,6.0,12.0,251,692.0
4.0,2015-02-10 00:47:57,2015-02-10 01:23:32,4369,,2.0,5,1775,2,295,445,9.0,4.0,3.0,251,608.0
4.0,2015-02-17 01:47:02,2015-02-17 02:45:47,4369,,2.0,6,6220,4,845,1095,8.0,8.0,10.0,251,779.0
4.0,2015-01-27 01:01:26,2015-01-27 01:51:41,4369,,2.0,3,2135,3,445,1095,4.0,4.0,7.0,251,640.0
4.0,2015-01-24 01:48:58,2015-01-24 02:57:50,4369,,2.0,5,5675,5,895,1695,6.0,5.0,11.0,251,738.0
4.0,2015-02-11 23:27:52,2015-02-12 00:05:53,4369,,2.0,6,2970,2,295,895,9.0,7.0,7.0,251,728.0
4.0,2015-02-02 21:18:18,2015-02-02 22:00:19,4369,,2.0,2,2290,2,1095,1195,6.0,6.0,7.0,251,606.0
4.0,2015-02-13 02:13:15,2015-02-13 03:11:16,4369,,2.0,2,990,2,495,495,10.0,10.0,19.0,251,666.0
4.0,2015-01-29 03:17:24,2015-01-29 04:28:31,4369,,2.0,1,1195,1,1195,1195,14.0,15.0,25.0,251,263.0
,2015-02-06 01:39:42,2015-02-06 02:09:23,4369,,2.0,5,2225,3,295,895,11.0,11.0,10.0,251,608.0
4.0,2015-02-14 00:05:10,2015-02-14 01:06:19,4369,,2.0,5,1475,1,295,295,11.0,4.0,4.0,251,726.0
4.0,2015-02-07 04:07:20,2015-02-07 05:07:28,4369,,2.0,6,4470,5,495,1095,12.0,13.0,20.0,251,559.0
4.0,2015-01-30 21:26:33,2015-01-30 21:59:38,4369,,2.0,2,2390,1,1195,1195,9.0,10.0,11.0,251,641.0
4.0,2015-01-23 02:18:39,2015-01-23 03:49:56,4369,,2.0,3,4185,1,1395,1395,12.0,13.0,24.0,251,617.0
4.0,2015-01-23 20:32:00,2015-01-23 21:00:03,4369,,2.0,3,2235,3,445,995,5.0,5.0,5.0,251,535.0
4.0,2015-02-17 04:53:04,2015-02-17 05:40:53,4369,,2.0,4,3080,3,495,1195,10.0,7.0,7.0,251,739.0
4.0,2015-02-05 01:36:13,2015-02-05 02:51:20,4369,,2.0,6,5170,6,395,1195,8.0,8.0,16.0,251,672.0
6.0,2015-02-04 22:29:30,2015-02-04 23:09:44,6477,dessert,5.0,2,800,1,400,400,,,,251,740.0
6.0,2015-02-01 23:45:23,2015-02-02 00:20:23,6477,dessert,5.0,1,900,1,800,800,,,,251,377.0
5.0,2015-02-13 01:25:57,2015-02-13 02:09:22,6477,other,4.0,3,2850,1,800,800,,,,251,547.0
